Name,SoldPrice,AskPrice,Rooms,Size,MonthlyRent,YearlyRent,YearBuilt,Region,Kommun,Lat,Log
Floravägen 21,1395000,1395000.0,2.0,44.0,3243.0,5765.0,,Nynäshamn,Nynäshamn,58.9056457,17.9470987
Torvmossvägen 6C,1540000,1495000.0,2.0,36.0,2375.0,5832.0,2017.0,Nykvarn,Nykvarn,59.2,17.416667
Torvmossvägen 6C,2190000,1895000.0,2.0,41.0,2335.0,4980.0,2018.0,Nykvarn,Nykvarn,59.2,17.416667
Sätunavägen 14C,1700000,1450000.0,2.0,60.0,3820.0,5880.0,1962.0,Sigtuna,Sigtuna,59.6165201,17.7236301
Sätunavägen 14C,1700000,1450000.0,2.0,60.0,3820.0,5880.0,1962.0,Sätuna,Sigtuna,59.6165201,17.7236301
Sätunavägen 14C,1125000,1195000.0,1.0,40.0,2654.0,2972.0,1962.0,Sigtuna,Sigtuna,59.6165201,17.7236301
Sätunavägen 14C,1125000,1195000.0,1.0,40.0,2654.0,2972.0,1962.0,Sätuna,Sigtuna,59.6165201,17.7236301
Sätunavägen 14C,1065000,895000.0,1.0,26.0,2037.0,3840.0,1962.0,Sigtuna,Sigtuna,59.6165201,17.7236301
Sätunavägen 14C,1065000,895000.0,1.0,26.0,2037.0,3840.0,1962.0,Sätuna,Sigtuna,59.6165201,17.7236301
Lollandsgatan 21 3tr,1630000,1550000.0,1.0,36.0,2360.0,,1979.0,Kista,Stockholms,59.403311,17.9442849
Bergsgatan 8,1585000,1495000.0,2.0,53.0,3606.0,5100.0,1944.0,Bergvik,Södertälje,59.1964289,17.6271663
Bergsgatan 8,1585000,1495000.0,2.0,53.0,3606.0,5100.0,1944.0,Södertälje,Södertälje,59.1964289,17.6271663
Bergsgatan 8,1350000,1295000.0,1.0,42.0,2727.0,6480.0,1944.0,Bergvik,Södertälje,59.1964289,17.6271663
Bergsgatan 8,1350000,1295000.0,1.0,42.0,2727.0,6480.0,1944.0,Södertälje,Södertälje,59.1964289,17.6271663
Skolgatan 6E BV,1295000,1295000.0,1.0,34.0,2256.0,3960.0,1955.0,Sigtuna,Sigtuna,59.6165201,17.7236301
Oxens gata 265,1430000,1095000.0,2.0,46.0,3370.0,,1970.0,Brandbergen,Haninge,59.1700044,18.1688215
Oxens gata 265,1500000,1395000.0,2.0,66.0,4345.0,1440.0,1969.0,Brandbergen,Haninge,59.1700044,18.1688215
Holländarevägen 15,1595000,1595000.0,2.0,56.0,3452.0,6500.0,1960.0,Nykvarn,Nykvarn,59.2,17.416667
Björkstigen 6,1050000,1050000.0,1.0,40.0,3767.0,2400.0,,Åbylund,Haninge,59.132036049999996,18.100379172784073
Björkstigen 6,1050000,1050000.0,1.0,40.0,3767.0,2400.0,,Västerhaninge,Haninge,59.1221593,18.1085969
Björkstigen 6,1500000,1395000.0,2.0,53.0,4008.0,4600.0,,Åbylund,Haninge,59.132036049999996,18.100379172784073
Björkstigen 6,1500000,1395000.0,2.0,53.0,4008.0,4600.0,,Västerhaninge,Haninge,59.1221593,18.1085969
Ribby allé 64,1520000,1295000.0,1.0,39.0,3570.0,,2006.0,Västerhaninge Ribby Ängar,Haninge,59.1195459,18.115426363172585
Sörgården 101,1750000,1795000.0,3.0,79.0,4945.0,6144.0,1969.0,Sörgården,Vallentuna,59.5359472,18.0665563
Gamla Huddingevägen 441,1725000,1495000.0,1.0,26.0,1551.0,3000.0,2015.0,Örby,Stockholms,59.2718469,18.0271185
Gamla Huddingevägen 441,1675000,1295000.0,1.0,21.0,1253.0,3600.0,2015.0,Örby,Stockholms,59.2718469,18.0271185
Gamla Huddingevägen 441,2500000,1995000.0,2.0,48.0,2864.0,,2015.0,Örby,Stockholms,59.2718469,18.0271185
Gamla Huddingevägen 441,2300000,1995000.0,2.0,42.0,2506.0,,2015.0,Örby,Stockholms,59.2718469,18.0271185
Rågvägen 7,1725000,1500000.0,2.0,58.0,3732.0,5400.0,1972.0,Hallunda,Botkyrka,59.2433117,17.8251324
Fornhöjdsvägen 8,1370000,1195000.0,2.0,62.0,3560.0,3000.0,1972.0,Fornhöjden,Södertälje,59.1928551,17.6646241
Fornhöjdsvägen 8,1860000,1795000.0,3.0,74.0,4184.0,3000.0,1972.0,Fornhöjden,Södertälje,59.1928551,17.6646241
Karlslundsgatan 18,1720000,1295000.0,2.0,60.0,3529.0,8800.0,1964.0,Bårsta,Södertälje,59.199453,17.6002533
Karlslundsgatan 18,1720000,1295000.0,2.0,60.0,3529.0,8800.0,1964.0,Bårstaberget,Södertälje,59.1964289,17.6271663
Karlslundsgatan 18,1720000,1295000.0,2.0,60.0,3529.0,8800.0,1964.0,Södertälje,Södertälje,59.1964289,17.6271663
Karlslundsgatan 18,1750000,1595000.0,3.0,68.0,4258.0,4800.0,1964.0,Bårsta,Södertälje,59.199453,17.6002533
Karlslundsgatan 18,1750000,1595000.0,3.0,68.0,4258.0,4800.0,1964.0,Bårstaberget,Södertälje,59.1964289,17.6271663
Karlslundsgatan 18,1750000,1595000.0,3.0,68.0,4258.0,4800.0,1964.0,Södertälje,Södertälje,59.1964289,17.6271663
Karlslundsgatan 18,1745000,1595000.0,2.0,60.0,3621.0,3000.0,1964.0,Bårsta,Södertälje,59.199453,17.6002533
Karlslundsgatan 18,1745000,1595000.0,2.0,60.0,3621.0,3000.0,1964.0,Bårstaberget,Södertälje,59.1964289,17.6271663
Karlslundsgatan 18,1745000,1595000.0,2.0,60.0,3621.0,3000.0,1964.0,Södertälje,Södertälje,59.1964289,17.6271663
Karlslundsgatan 18,2000000,1695000.0,2.0,60.0,3621.0,3600.0,1964.0,Bårsta,Södertälje,59.199453,17.6002533
Karlslundsgatan 18,2000000,1695000.0,2.0,60.0,3621.0,3600.0,1964.0,Bårstaberget,Södertälje,59.1964289,17.6271663
Karlslundsgatan 18,2000000,1695000.0,2.0,60.0,3621.0,3600.0,1964.0,Södertälje,Södertälje,59.1964289,17.6271663
Sibeliusgången 44 7 tr,1580000,1595000.0,2.0,45.0,2996.0,,1977.0,Akalla,Stockholms,59.4147004,17.9218177
Sotingeplan 40 lgh 1102,1740000,1700000.0,2.0,62.0,3849.0,,1969.0,Tensta,Stockholms,59.3957349,17.9032284
Kopparvägen 12,1550000,1445000.0,2.0,51.0,4018.0,,1963.0,Järfälla,Järfälla,59.416667,17.766667
Ringvägen 106,1200000,1145000.0,1.0,32.0,2549.0,2676.0,1961.0,Västerhaninge,Haninge,59.1221593,18.1085969
Backluravägen 159,1650000,1650000.0,4.0,104.0,5748.0,15550.0,1984.0,Norra,Nynäshamn,58.9056457,17.9470987
